name,portrait,text
??,,저기요...
player1,,(안 돼. 들은 척 하지 말자..)
??,,제 말을 들어주세요. 사람이 죽어가고 있어요..제발요...
player1,,(죽어간다고? 죽기 직전인 사람이 있다더니..)
player1,,(잘 살아있는지 확인하랬으니까 괜찮지 않을까?)
player1,,(말하는 사람쪽을 보니 아름다운 여성과 누워있는 남자 한 명이 있다.)
player1,,(하지만 생사는 알 수 없다.)
??,37a2575233a64eff836cb3ce463b3ab4,약초가 필요해요. 이 근방에서 흔히 자라는 푸른 약초만 있으면 살릴 수 있어요.
player1,,당신이 의사라도 됩니까?
체리,37a2575233a64eff836cb3ce463b3ab4,맞아요! 전 저항군 의사 체리라고 해요.
체리,37a2575233a64eff836cb3ce463b3ab4,그이는..콘은 아직 살아있어요.
체리,37a2575233a64eff836cb3ce463b3ab4,하지만 더 늦으면 정말 위험해요.
체리,37a2575233a64eff836cb3ce463b3ab4,바깥에서 발견하는 보라색 약초를 클릭하면 약초를 얻을 수 있어요.
체리,37a2575233a64eff836cb3ce463b3ab4,제발 약초를 구해주세요. 부탁드립니다.
player1,,(안타깝지만 더 이상 대화하면 안 될 것 같다.)
player1,,(일단 살아있는 것 같으니 다른 포로들의 주의를 끌지 않도록 나가는 게 좋겠다.)
